iter	Passed	Remaining
0	141	140917
1	141	70565
2	141	47067
3	141	35326
4	142	28381
5	142	23672
6	143	20305
7	143	17774
8	143	15801
9	143	14231
10	144	12948
11	144	11879
12	144	10975
13	144	10202
14	145	9530
15	145	8936
16	145	8420
17	145	7960
18	146	7541
19	146	7168
20	146	6829
21	146	6522
22	146	6242
23	147	5986
24	147	5749
25	147	5532
26	147	5326
27	148	5141
28	148	4967
29	148	4802
30	148	4650
31	148	4504
32	149	4370
33	149	4245
34	149	4123
35	149	4008
36	149	3903
37	150	3799
38	150	3704
39	150	3610
40	150	3525
41	150	3443
42	151	3363
43	151	3287
44	151	3214
45	151	3146
46	152	3082
47	152	3018
48	152	2959
49	152	2902
50	152	2845
51	153	2792
52	153	2742
53	153	2694
54	154	2647
55	154	2599
56	154	2554
57	154	2512
58	154	2470
59	155	2428
60	155	2388
61	155	2350
62	155	2314
63	155	2278
64	155	2243
65	156	2211
66	156	2177
67	156	2145
68	156	2113
69	156	2084
70	157	2056
71	157	2026
72	157	2000
73	157	1974
74	157	1947
75	158	1921
76	158	1897
77	158	1872
78	158	1848
79	158	1825
80	158	1803
81	159	1781
82	159	1759
83	159	1739
84	159	1719
85	160	1700
86	160	1681
87	160	1662
88	160	1645
89	160	1626
90	161	1609
91	161	1591
92	161	1575
93	161	1558
94	161	1542
95	162	1527
96	162	1511
97	162	1496
98	162	1481
99	163	1467
100	163	1453
101	163	1440
102	163	1426
103	164	1413
104	164	1400
105	164	1387
106	164	1377
107	165	1365
108	165	1353
109	165	1341
110	166	1329
111	166	1319
112	166	1307
113	166	1296
114	167	1285
115	167	1275
116	167	1264
117	167	1253
118	167	1243
119	168	1233
120	168	1223
121	168	1213
122	168	1204
123	169	1194
124	169	1185
125	169	1176
126	169	1167
127	170	1158
128	170	1149
129	170	1141
130	170	1133
131	170	1124
132	171	1115
133	171	1107
134	171	1099
135	171	1092
136	172	1084
137	172	1077
138	172	1070
139	172	1062
140	173	1054
141	173	1047
142	173	1040
143	173	1033
144	174	1026
145	174	1019
146	174	1012
147	174	1005
148	174	999
149	175	992
150	175	985
151	175	979
152	175	973
153	176	967
154	176	961
155	176	955
156	176	949
157	177	944
158	177	938
159	177	932
160	178	928
161	178	924
162	179	919
163	179	913
164	179	907
165	179	902
166	179	897
167	180	892
168	180	887
169	180	882
170	180	876
171	180	871
172	181	866
173	181	860
174	181	855
175	181	850
176	182	846
177	182	841
178	182	837
179	182	832
180	183	828
181	183	823
182	183	819
183	183	815
184	184	811
185	184	807
186	184	803
187	185	799
188	185	795
189	185	791
190	185	786
191	185	782
192	186	778
193	186	774
194	186	770
195	186	766
196	187	762
197	187	759
198	187	755
199	187	751
200	188	748
201	188	744
202	188	740
203	188	737
204	189	733
205	189	730
206	189	726
207	190	723
208	190	720
209	190	716
210	190	713
211	190	709
212	191	706
213	191	703
214	191	700
215	192	697
216	192	693
217	192	690
218	192	687
219	193	684
220	193	681
221	193	678
222	193	675
223	194	672
224	194	669
225	194	666
226	194	663
227	195	660
228	195	657
229	195	654
230	195	651
231	196	649
232	196	646
233	196	643
234	196	640
235	196	637
236	197	634
237	197	632
238	197	629
239	197	626
240	198	624
241	198	621
242	198	618
243	198	616
244	199	613
245	199	611
246	199	608
247	199	605
248	200	603
249	200	600
250	200	598
251	200	595
252	200	593
253	201	590
254	201	588
255	201	586
256	201	583
257	202	581
258	202	579
259	202	577
260	202	574
261	203	572
262	203	570
263	203	568
264	204	566
265	204	563
266	204	561
267	204	559
268	205	557
269	205	555
270	205	553
271	205	551
272	206	549
273	206	547
274	206	544
275	207	543
276	207	540
277	207	538
278	207	537
279	208	535
280	208	533
281	208	531
282	208	529
283	209	527
284	209	525
285	209	523
286	209	521
287	210	519
288	210	517
289	210	515
290	210	513
291	210	511
292	211	509
293	211	507
294	211	505
295	211	503
296	212	502
297	212	500
298	212	498
299	212	496
300	213	494
301	213	493
302	213	491
303	213	489
304	214	487
305	214	485
306	214	484
307	214	482
308	214	480
309	215	479
310	215	477
311	215	475
312	215	473
313	216	472
314	216	470
315	216	469
316	216	467
317	217	465
318	217	464
319	217	462
320	217	460
321	218	459
322	218	458
323	218	456
324	219	455
325	219	453
326	219	452
327	219	450
328	220	449
329	220	447
330	220	446
331	221	444
332	221	443
333	221	441
334	221	440
335	222	438
336	222	437
337	222	435
338	222	434
339	223	433
340	223	431
341	223	430
342	223	428
343	224	427
344	224	425
345	224	424
346	224	423
347	225	421
348	225	420
349	225	418
350	225	417
351	225	415
352	226	414
353	226	413
354	226	411
355	226	410
356	227	409
357	227	407
358	227	406
359	227	405
360	228	403
361	228	402
362	228	401
363	228	399
364	229	398
365	229	397
366	229	395
367	229	394
368	230	393
369	230	392
370	230	390
371	230	389
372	230	388
373	231	387
374	231	385
375	231	384
376	232	383
377	232	382
378	232	381
379	233	380
380	233	379
381	233	378
382	233	376
383	234	375
384	234	374
385	234	373
386	234	372
387	235	370
388	235	369
389	235	368
390	235	367
391	236	366
392	236	365
393	236	363
394	236	362
395	237	361
396	237	360
397	237	359
398	237	358
399	237	356
400	238	355
401	238	354
402	238	353
403	238	352
404	239	351
405	239	350
406	239	349
407	239	348
408	240	346
409	240	345
410	240	344
411	240	343
412	241	342
413	241	341
414	241	340
415	241	339
416	242	338
417	242	337
418	242	336
419	242	335
420	243	334
421	243	333
422	243	332
